,name,model,price,cargo,stock,lastPriceUpdates,store,brand
0,iPhone 13 128 GB - Siyah,iPhone 13 128 GB,"36.999,00 TL","+29,99 TL kargo",Stokta 10 adet,08/01/2024,Hepsiburada,Apple
1,Iphone 13 128Gb Yeşil Cep Telefonu Mngk3Tu/A,iPhone 13 128 GB,"37.699,00 TL",Ücretsiz kargo,Stokta,08/01/2024,D&R,Apple
2,iPhone 13 128 GB Yeşil,iPhone 13 128 GB,"37.896,00 TL",Ücretsiz kargo,Stokta 2 adet,08/01/2024,Trendyol/Omega Teknoloji,Apple
3,iPhone 13 128GB MLPG3TU/A Yıldız Işığı Cep Telefonu - Apple Türkiye Garantili,iPhone 13 128 GB,"37.998,00 TL",Ücretsiz kargo,Stokta,08/01/2024,incehesap.com,Apple
4,iPhone 13 128 GB Gece Yarısı,iPhone 13 128 GB,"37.998,00 TL",Ücretsiz kargo,Stokta 2 adet,08/01/2024,Turkcell/Koçak Teknoloji,Apple
5,iPhone 13 128 GB Yıldız Işığı,iPhone 13 128 GB,"37.998,00 TL",Ücretsiz kargo,Stokta 10+ adet,08/01/2024,Turkcell/Koçak Teknoloji,Apple
6,Apple Iphone 13 128 Gb Akıllı Telefon Mavi Mlpk3Tu/A,iPhone 13 128 GB,"37.999,00 TL",Ücretsiz kargo,Stokta,08/01/2024,Media Markt,Apple
7,Apple Iphone 13 128 Gb Akıllı Telefon Midnight Mlpf3Tu/A,iPhone 13 128 GB,"37.999,00 TL",Ücretsiz kargo,Stokta,08/01/2024,Media Markt,Apple
8,Apple Iphone 13 128 Gb Akıllı Telefon Pembe Mlph3Tu/A,iPhone 13 128 GB,"37.999,00 TL",Ücretsiz kargo,Stokta,08/01/2024,Media Markt,Apple
9,Apple Iphone 13 128Gb Akıllı Telefon Yeşil Mngk3Tu/A,iPhone 13 128 GB,"37.999,00 TL",Ücretsiz kargo,Stokta,08/01/2024,Media Markt,Apple
10,Apple Iphone 13 128 Gb Akıllı Telefon Starlight Mlpg3Tu/A,iPhone 13 128 GB,"37.999,00 TL",Ücretsiz kargo,Stokta,08/01/2024,Media Markt,Apple
11,iPhone 13 128GB MLPK3TU/A Mavi Cep Telefonu - Apple Türkiye Garantili,iPhone 13 128 GB,"37.999,00 TL",Ücretsiz kargo,Stokta,08/01/2024,incehesap.com,Apple
12,Apple iPhone 13 128GB Pembe Akıllı Telefon,iPhone 13 128 GB,"37.999,00 TL",Ücretsiz kargo,Stokta 50+ adet,08/01/2024,Teknosa,Apple
13,Apple iPhone 13 128 GB (Apple Türkiye Garantili) siyah,iPhone 13 128 GB,"37.999,00 TL",Ücretsiz kargo,Stokta 8 adet,08/01/2024,n11,Apple
14,Apple iPhone 13 128 GB (Apple Türkiye Garantili) yesil,iPhone 13 128 GB,"37.999,00 TL",Ücretsiz kargo,Stokta 4 adet,08/01/2024,n11/bittibitiyor,Apple
15,iPhone 13 128 GB Yeşil,iPhone 13 128 GB,"37.999,00 TL",Ücretsiz kargo,Stokta 50+ adet,08/01/2024,Turkcell/Turkcell Satış A.Ş.,Apple
16,Apple iPhone 13 Siyah 128 GB 4 GB Ram Akıllı Telefon (Apple Türkiye Garantili),iPhone 13 128 GB,"38.063,04 TL",Ücretsiz kargo,Stokta 3 adet,08/01/2024,Pazarama/mobilePlus,Apple
17,Apple İphone 13 128 Gb Gece Yarisi Cep Telefonu (Apple Turkiye Garantili),iPhone 13 128 GB,"38.317,05 TL",Ücretsiz kargo,Stokta 8 adet,08/01/2024,Pttavm/Aksaray İletişim,Apple
18,Apple İphone 13 128 Gb Yildiz Isigi Cep Telefonu (Apple Turkiye Garantili),iPhone 13 128 GB,"38.364,65 TL",Ücretsiz kargo,Stokta 1 adet,08/01/2024,Pttavm/Aksaray İletişim,Apple
19,Apple İphone 13 128Gb Mavi - Mlpk3tu/A,iPhone 13 128 GB,"38.399,00 TL",Ücretsiz kargo,Stokta 10+ adet,08/01/2024,troy e-store,Apple
